iso3,year,fsw-pse,fsw-prev,fsw-new_inf,msm-pse,msm-prev,msm-new_inf,pwid-pse,pwid-prev,pwid-new_inf
AGO,2022,"115,498",12.1,"1,567","45,215",6.5,174,"17,769",4.5,63
BEN,2022,"28,207",15.2,342,"13,029",12.1,60,"13,115",4.3,31
BWA,2022,"10,131",49.6,323,"3,925",16,7,"1,271",45,17
BFA,2022,"48,502",10.4,289,"18,399",5.2,13,"18,545",3.9,25
BDI,2022,"46,380",17.9,488,"18,377",7.2,27,"9,239",3.3,11
CMR,2022,"79,669",19.4,947,"34,916",15.4,103,"16,962",5.9,37
CAF,2022,"20,618",15.3,350,"5,597",14.1,45,"2,829",6,10
TCD,2022,"42,787",11.5,396,"14,862",12.4,70,"12,279",4.9,25
COG,2022,"40,422",11.2,524,"7,683",18.7,112,"2,981",6.6,18
CIV,2022,"42,385",10,241,"17,156",12.9,47,"17,445",5.7,40
COD,2022,"348,284",7.7,"1,527","130,236",11.8,404,"45,266",4.2,74
GNQ,2022,"5,116",53.9,541,"2,433",28.7,58,976,7.6,5
SWZ,2022,"5,640",51.6,161,"2,362",14.4,7,571,52.5,7
ETH,2022,"147,999",19.4,"2,308","50,228",7,159,"42,012",4.1,72
GAB,2022,"10,609",15.7,226,"2,772",14,17,"1,575",6.1,6
GMB,2022,"3,055",15.3,94,"3,097",16.7,41,737,5.8,3
GHA,2022,"17,041",7.9,85,"37,477",12.9,201,"31,120",5,82
GNB,2022,"2,767",18.4,23,"2,707",10.7,16,"1,042",7.1,5
GIN,2022,"20,082",13.2,219,"4,193",12.8,31,"9,058",5.2,34
KEN,2022,"98,638",31.3,"2,609","18,435",12.8,111,"24,360",12.3,114
LSO,2022,"2,074",53.6,98,"3,582",28.3,49,815,43.2,17
LBR,2022,"10,076",12.8,114,"3,972",13,31,"4,987",4.9,17
MWI,2022,"88,453",47.9,"3,456","38,062",14.1,108,"9,711",20.4,66
MWI_demo,2022,"88,453",47.9,"3,456","38,062",14.1,108,"9,711",20.4,66
MLI,2022,"69,910",13,"1,034","28,345",12.1,229,"22,469",4.1,72
MOZ,2022,"82,008",25.6,"1,999","60,704",10.9,267,"19,152",29.2,328
NAM,2022,"10,393",35.1,244,"6,997",15.3,21,"1,395",29.2,21
NER,2022,"52,918",5.2,180,"19,001",10.3,63,"21,208",2.9,43
NGA,2022,"538,625",16.9,"5,441","199,068",21.2,"1,262","356,380",4.7,786
RWA,2022,"25,188",39.9,682,"3,634",8.4,4,"22,272",6.8,22
SEN,2022,"22,352",8.1,95,"9,753",18.9,54,"5,753",3.4,9
SLE,2022,"23,183",12.8,268,"15,232",7.3,54,"13,729",5,41
ZAF,2022,"162,725",57.4,"8,104","239,190",30.7,874,"27,957",41.6,327
SSD,2022,"71,366",20.9,"2,187","12,164",9.3,124,"6,393",6.8,46
TZA,2022,"125,332",30.8,"2,057","86,507",11.6,265,"35,985",13.2,148
TGO,2022,"12,719",12.7,155,"9,314",9.9,18,"8,663",5.1,15
UGA,2022,"99,051",18.9,"1,179","77,906",12,390,"61,306",15.6,367
ZMB,2022,"60,462",52.3,"2,367","31,313",14.8,217,"9,309",27.6,115
ZWE,2022,"35,340",53.3,"1,476","16,840",16,38,"6,243",29.2,47